Year,Category,Region,Month,CPI,Date
2023,Transportation,US,Dec,263.375,2023-12-01
2014,All items less food and energy,US,Dec,238.775,2014-12-01
2015,All items less food and energy,US,Dec,243.779,2015-12-01
2016,All items less food and energy,US,Dec,249.134,2016-12-01
2017,All items less food and energy,US,Dec,253.558,2017-12-01
2018,All items less food and energy,US,Dec,259.083,2018-12-01
2019,All items less food and energy,US,Dec,264.935,2019-12-01
2020,All items less food and energy,US,Dec,269.226,2020-12-01
2021,All items less food and energy,US,Dec,283.908,2021-12-01
2022,All items less food and energy,US,Dec,300.113,2022-12-01
2023,All items less food and energy,US,Dec,311.907,2023-12-01
2014,Housing,US,Dec,234.658,2014-12-01
2015,Housing,US,Dec,239.514,2015-12-01
2016,Housing,US,Dec,246.795,2016-12-01
2017,Housing,US,Dec,253.845,2017-12-01
2018,Housing,US,Dec,261.36,2018-12-01
2019,Housing,US,Dec,268.236,2019-12-01
2020,Housing,US,Dec,273.684,2020-12-01
2021,Housing,US,Dec,287.511,2021-12-01
2022,Housing,US,Dec,310.725,2022-12-01
2023,Housing,US,Dec,325.64,2023-12-01
2014,Energy,US,Dec,209.785,2014-12-01
2015,Energy,US,Dec,183.378,2015-12-01
2016,Energy,US,Dec,193.306,2016-12-01
2017,Energy,US,Dec,206.598,2017-12-01
2018,Energy,US,Dec,205.905,2018-12-01
2019,Energy,US,Dec,212.982,2019-12-01
2020,Energy,US,Dec,198.155,2020-12-01
2021,Energy,US,Dec,256.207,2021-12-01
2022,Energy,US,Dec,274.937,2022-12-01
2023,Energy,US,Dec,269.375,2023-12-01
2014,Food and beverages,US,Dec,245.585,2014-12-01
2015,Food and beverages,US,Dec,247.468,2015-12-01
2016,Food and beverages,US,Dec,247.134,2016-12-01
2017,Food and beverages,US,Dec,251.024,2017-12-01
2018,Food and beverages,US,Dec,255.023,2018-12-01
2019,Food and beverages,US,Dec,259.403,2019-12-01
2020,Food and beverages,US,Dec,269.383,2020-12-01
2021,Food and beverages,US,Dec,285.556,2021-12-01
2022,Food and beverages,US,Dec,314.459,2022-12-01
2023,Food and beverages,US,Dec,322.933,2023-12-01
2014,Medical care,US,Dec,439.72,2014-12-01
2015,Medical care,US,Dec,451.072,2015-12-01
2016,Medical care,US,Dec,469.447,2016-12-01
2017,Medical care,US,Dec,477.802,2017-12-01
2018,Medical care,US,Dec,487.409,2018-12-01
2019,Medical care,US,Dec,509.689,2019-12-01
2020,Medical care,US,Dec,518.766,2020-12-01
2021,Medical care,US,Dec,530.026,2021-12-01
2022,Medical care,US,Dec,551.002,2022-12-01
2023,Medical care,US,Dec,553.485,2023-12-01
2014,Education,US,Dec,236.066,2014-12-01
2015,Education,US,Dec,244.777,2015-12-01
2016,Education,US,Dec,251.466,2016-12-01
2017,Education,US,Dec,256.469,2017-12-01
2018,Education,US,Dec,263.199,2018-12-01
2019,Education,US,Dec,268.7,2019-12-01
2020,Education,US,Dec,272.437,2020-12-01
2021,Education,US,Dec,277.904,2021-12-01
2022,Education,US,Dec,287.177,2022-12-01
2023,Education,US,Dec,294.04,2023-12-01
2014,All items,Midwest,Dec,222.821,2014-12-01
2015,All items,Midwest,Dec,222.722,2015-12-01
2016,All items,Midwest,Dec,226.794,2016-12-01
2017,All items,Midwest,Dec,230.548,2017-12-01
2018,All items,Midwest,Dec,233.458,2018-12-01
2019,All items,Midwest,Dec,238.734,2019-12-01
2020,All items,Midwest,Dec,241.453,2020-12-01
2021,All items,Midwest,Dec,259.609,2021-12-01
2022,All items,Midwest,Dec,275.182,2022-12-01
2023,All items,Midwest,Dec,283.908,2023-12-01
2014,All items,Northeast,Dec,250.519,2014-12-01
2015,All items,Northeast,Dec,251.67,2015-12-01
2016,All items,Northeast,Dec,256.427,2016-12-01
2017,All items,Northeast,Dec,260.791,2017-12-01
2018,All items,Northeast,Dec,265.286,2018-12-01
2019,All items,Northeast,Dec,270.429,2019-12-01
2020,All items,Northeast,Dec,274.225,2020-12-01
2021,All items,Northeast,Dec,290.405,2021-12-01
2022,All items,Northeast,Dec,308.15,2022-12-01
2023,All items,Northeast,Dec,316.143,2023-12-01
2014,All items,South,Dec,228.451,2014-12-01
2015,All items,South,Dec,229.581,2015-12-01
2016,All items,South,Dec,234.204,2016-12-01
2017,All items,South,Dec,238.512,2017-12-01
2018,All items,South,Dec,242.15,2018-12-01
2019,All items,South,Dec,247.289,2019-12-01
2020,All items,South,Dec,250.693,2020-12-01
2021,All items,South,Dec,269.263,2021-12-01
2022,All items,South,Dec,288.205,2022-12-01
2023,All items,South,Dec,298.754,2023-12-01
2014,All items,West,Dec,239.095,2014-12-01
2015,All items,West,Dec,243.434,2015-12-01
2016,All items,West,Dec,249.516,2016-12-01
2017,All items,West,Dec,257.347,2017-12-01
2018,All items,West,Dec,265.209,2018-12-01
2019,All items,West,Dec,272.584,2019-12-01
2020,All items,West,Dec,276.593,2020-12-01
2021,All items,West,Dec,296.102,2021-12-01
2022,All items,West,Dec,314.599,2022-12-01
2023,All items,West,Dec,325.932,2023-12-01
